source_id,initiative_id,initiative,replace_original_row,source_role,source_tier,source_type,source_title,source_org,publication_year,repository,url,retrieval_mode,target_relpath,extraction_priority,status,notes
src_school_garden_primary_txsprouts,school-garden-interventions,School garden interventions,yes,primary,official,program_page,TX Sprouts Evaluation,TX Sprouts,2026,official_program_site,https://www.txsprouts.com/evaluation,manual_html_capture,raw/official/school_gardens/txsprouts_evaluation.html,medium,downloaded,Program and evaluation design overview.
src_school_garden_eval_academic,school-garden-interventions,School garden interventions,yes,evaluation,scholarly,repository_record,Effects of a School-Based Garden Program on Academic Performance: A Cluster Randomized Controlled Trial,Texas Medical Center Digital Commons,2023,digital_commons,https://digitalcommons.library.tmc.edu/uthsph_docs/1321/,manual_html_capture,raw/scholarly/school_gardens/txsprouts_academic_performance_2023.html,high,downloaded,Use the open institutional repository record and abstract as the stable acquisition source.
src_school_garden_eval_science,school-garden-interventions,School garden interventions,yes,evaluation,scholarly,journal_article,The Effects of School Gardens on Children's Science Knowledge,International Journal of Science Education,2015,taylor_francis,https://www.tandfonline.com/doi/abs/10.1080/09500693.2015.1112048?journalCode=tse,manual_html_capture,raw/scholarly/school_gardens/school_garden_science_knowledge_2015.html,medium,downloaded,Use the journal landing page and abstract as the stable source when full text is paywalled.
src_phone_ban_eval_nber,school-cellphone-bans-phone-free-school-policies,School cellphone bans / phone-free school policies,yes,evaluation,scholarly,working_paper,The Impact of Cellphone Bans in Schools on Student Outcomes: Evidence from Florida,NBER,2025,nber,https://www.nber.org/papers/w34388,direct_pdf,raw/scholarly/phone_bans/figlio_ozek_2025_phone_bans.pdf,high,downloaded,Lead causal paper for reduced-tech school policy.
src_phone_ban_review_scoping,school-cellphone-bans-phone-free-school-policies,School cellphone bans / phone-free school policies,yes,review,scholarly,review_article,Scoping review of school mobile phone policies,SAGE Open / review literature,2024,sage,https://journals.sagepub.com/doi/10.1177/20556365241270394,manual_html_capture,raw/scholarly/phone_bans/scoping_review_2024_phone_policies.html,medium,downloaded,Capture the review landing page metadata and abstract; avoid unstable auto PDF resolution.
src_phone_policy_ecs_state_scan,school-cellphone-bans-phone-free-school-policies,School cellphone bans / phone-free school policies,yes,primary,official,state_policy_scan,Cell-Phone Policies State Information Request 2025,Education Commission of the States,2025,ecs,https://www.ecs.org/wp-content/uploads/Cell-Phone-Policies-State-Information-Request-2025.pdf,manual_html_capture,raw/official/phone_bans/ecs_state_info_request_2025.pdf,high,downloaded,State-by-state policy scan used for identifying state implementation links.
src_tutoring_primary_ed_brief,high-dosage-tutoring-engage-every-student,High-dosage tutoring (Engage Every Student),yes,primary,official,implementation_brief,Sustaining Evidence-Based High-Dosage Tutoring,U.S. Department of Education,2024,ed_gov,https://www.ed.gov/sites/ed/files/2024/06/High-Dosage-Tutoring.pdf,direct_pdf,raw/official/tutoring/high_dosage_tutoring_ed_2024.pdf,high,downloaded,Federal implementation guidance and resource map for high-dosage tutoring.
src_tutoring_eval_annenberg,high-dosage-tutoring-engage-every-student,High-dosage tutoring (Engage Every Student),yes,evaluation,scholarly,research_summary,Addressing unfinished learning with targeted help and high-dosage tutoring,Annenberg Institute at Brown,2021,annenberg,https://annenberg.brown.edu/news/addressing-unfinished-learning-targeted-help-and-high-dosage-tutoring,manual_html_capture,raw/scholarly/tutoring/annenberg_high_dosage_tutoring_2021.html,high,downloaded,Concise evidence-oriented synthesis supporting high-dosage tutoring effectiveness.
src_ai_primary_ed_priorities,advancing-ai-in-education,Advancing AI in Education,yes,primary,official,policy_priority,U.S. Department of Education supplemental priorities press release,U.S. Department of Education,2025,ed_gov,https://www.ed.gov/about/news/press-release/us-department-of-education-releases-secretary-mcmahons-meaningful-learning-and-workforce-readiness-supplemental-priorities,manual_html_capture,raw/official/ai/ed_ai_priorities_2025.html,high,downloaded,Primary federal policy source for AI in education priority framing.
src_ai_context_ed_initiatives,advancing-ai-in-education,Advancing AI in Education,yes,review,official,initiative_page,Department of Education initiatives overview,U.S. Department of Education,2026,ed_gov,https://www.ed.gov/about/initiatives,manual_html_capture,raw/official/ai/ed_initiatives_overview.html,medium,downloaded,Broader initiatives context including current federal attention themes.
src_raise_bar_career_primary,raise-the-bar-career-pathways,Raise the Bar career pathways,yes,primary,official,initiative_brief,Raise the Bar: Postsecondary and Career Pathways,U.S. Department of Education,2024,ed_gov_archive,https://learnworkecosystemlibrary.com/archive/Raise%20the%20Bar-Postsecondary%20and%20Career%20Pathways.html,manual_html_capture,raw/official/raise_bar/raise_bar_career_pathways.html,high,downloaded,Primary national framing source for career pathways and work-based learning expansion.
src_raise_bar_career_supporting,raise-the-bar-career-pathways,Raise the Bar career pathways,yes,evaluation,technical,practice_article,What Does Federal Raise the Bar Initiative Mean for CTE?,Government Technology,2023,govtech,https://www.govtech.com/education/k-12/what-does-federal-raise-the-bar-initiative-mean-for-cte,manual_html_capture,raw/technical/raise_bar/govtech_raise_bar_cte.html,medium,downloaded,Implementation-oriented context on CTE and work-based learning expansion.
src_literacy_priority_primary,evidence-based-literacy-priority,Evidence-based literacy priority,yes,primary,official,policy_priority,U.S. Department of Education supplemental priorities press release,U.S. Department of Education,2025,ed_gov,https://www.ed.gov/about/news/press-release/us-department-of-education-releases-secretary-mcmahons-meaningful-learning-and-workforce-readiness-supplemental-priorities,manual_html_capture,raw/official/literacy/ed_literacy_priority_2025.html,high,downloaded,Primary federal policy source for evidence-based literacy priority.
src_literacy_priority_supporting,evidence-based-literacy-priority,Evidence-based literacy priority,yes,review,official,federal_register_rule,Final priorities and definitions on evidence-based literacy,U.S. Department of Education (Federal Register),2025,federal_register,https://www.federalregister.gov/documents/2025/09/09/2025-17310/final-priorities-and-definitions-secretarys-supplemental-priorities-and-definitions-on,manual_html_capture,raw/official/literacy/federal_register_evidence_based_literacy_2025.html,medium,downloaded,Stable official rule text that documents the final evidence-based literacy supplemental priority.
src_gates_millennium_primary_archive,gates-millennium-scholars,Gates Millennium Scholars,no,primary,official,program_archive,Gates Millennium Scholars annual report,Gates Millennium Scholars Program,2014,official_program_archive,https://gmsp.org/docs/reports/R6_FINAL_Gates_2014_AR.PDF,direct_pdf,raw/official/gms/gms_annual_report_2014.pdf,medium,downloaded,Use archived GMS annual report PDF as a stable primary program design and scope source.
src_gates_millennium_eval_desjardins,gates-millennium-scholars,Gates Millennium Scholars,no,evaluation,technical,report,Expanding Access and Opportunity: The Impact of the Gates Millennium Scholars Program,Institute for Higher Education Policy / ERIC full text,2010,eric,https://files.eric.ed.gov/fulltext/ED539716.pdf,direct_pdf,raw/scholarly/gms/expanding_access_gms_2010.pdf,high,downloaded,Use the ERIC full-text impact report as the stable open evaluation source.
src_sor_primary_ies_practice_guide,science-of-reading-sor,Science of Reading (SoR),no,primary,official,practice_guide,Foundational Skills to Support Reading for Understanding in Kindergarten Through 3rd Grade,Institute of Education Sciences,2016,ies,https://ies.ed.gov/ncee/wwc/PracticeGuide/21,direct_pdf,raw/official/sor/ies_foundational_skills_practice_guide.pdf,high,downloaded,Core federal evidence-based reading practice guide frequently used to operationalize SoR-aligned instruction.
src_sor_eval_nrp_report,science-of-reading-sor,Science of Reading (SoR),no,evaluation,technical,evidence_synthesis,Teaching Children to Read: An Evidence-Based Assessment of the Scientific Research Literature on Reading and Its Implications for Reading Instruction,National Reading Panel,2000,nichd,https://www.nichd.nih.gov/sites/default/files/publications/pubs/nrp/Documents/report.pdf,direct_pdf,raw/technical/sor/nrp_teaching_children_to_read_2000.pdf,high,downloaded,Landmark evidence synthesis used as a foundational source in the science-of-reading evidence lineage.
